,NI,4 hpi,8 hpi,12 hpi
0,4.678174544376945,82.89999999999998,99.0,82.84999999999991
1,4.666595197255575,49.0,94.94999999999982,75.14999999999998
2,2.310628636299134,104.0,66.0,179.75
3,7.584888976223227,41.0,93.44999999999982,158.0
4,1.9251016477637493,29.0,72.0,209.0999999999999
5,2.0992924528301886,51.0,128.9000000000001,96.69999999999982
6,3.312677266867211,74.0,37.0,175.0
7,3.3774127007514365,110.0,248.35000000000002,44.0
8,6.147018030513176,32.0,54.0,143.0
9,4.058245614035088,35.0,87.0,79.0
10,2.97636584378794,28.0,58.0,69.0
11,4.9451381006432085,85.0,115.0,151.0
12,7.598184474123539,55.0,111.0,68.19999999999982
13,10.378358537659668,101.69999999999982,98.0,107.0
14,3.61093511033428,155.79999999999973,125.0,132.0
15,5.541524230846571,182.59999999999945,231.0,74.84999999999997
16,5.102670623145401,78.34999999999991,202.0,94.79999999999995
17,2.129511677282378,73.25,127.94999999999982,83.29999999999995
18,2.5041938490214353,46.0,86.75,119.0
19,2.7976393849976704,115.0,71.0,176.0
20,3.883682983682984,99.0,102.0,220.0
21,3.6869292981998436,127.0,175.0,82.0
22,3.704863051984349,38.84999999999991,173.0,59.0
23,4.607043558850788,34.0,119.0,165.0
24,2.897000361402241,88.69999999999982,31.0,80.0
25,4.1126715608043405,37.34999999999991,131.0,33.0
26,8.330826075481657,41.0,220.0,129.0
27,4.443389641211783,83.0,230.75,98.80000000000007
28,3.030462065031375,107.0,65.0,90.0
29,2.129112869637651,127.75,43.0,119.75
30,6.810727423756972,71.54999999999973,135.14999999999998,210.0
31,2.2287322768974147,89.5,187.19999999999982,34.0
32,1.997558494404883,55.0,165.0,51.0
33,2.968327445486661,52.0,38.0,54.0
34,5.217078877005347,83.0,212.19999999999982,36.0
35,1.7905378083299637,93.0,97.89999999999986,96.0
36,8.636732073351792,74.0,60.0,157.0
37,3.3437123342707915,86.0,126.85000000000002,172.0
38,2.4904040404040404,61.04999999999973,99.0,241.75
39,1.8796788286692643,39.0,65.0,43.049999999999955
40,1.7473797366299382,49.0,61.0,202.0
41,3.2510515247108307,37.0,134.0,31.0
42,2.401257202723939,56.0,28.0,66.0
43,2.219025095256865,30.75,129.0,32.0
44,5.314664457332229,190.45,227.0,117.0
45,9.346388861063808,84.0,29.0,85.0
46,3.3099310344827586,79.0,60.0,30.399999999999864
47,3.2769187909179553,179.0,85.0,41.0
48,8.91602840829968,100.0,149.0,127.0
49,4.473496885725181,31.0,74.0,125.0
50,5.790558766859345,37.0,76.94999999999993,50.75
51,4.051869461854333,76.05000000000018,29.0,218.54999999999995
52,5.200114187838995,80.0,224.0,167.0
53,2.078435856391493,104.0,186.0,108.0
54,8.294144144144145,59.0,47.0,144.0
55,2.8226977455101263,93.04999999999995,40.0,38.0
56,6.441734792850215,60.149999999999636,211.0,137.0999999999999
57,3.080136440152388,110.0,109.0,56.64999999999998
58,2.7583333333333333,65.0,93.0,39.0
59,4.88970505141824,69.0,91.0,73.0
60,10.143179255918827,106.0,32.0,126.25
61,4.295210449927431,56.0,28.25,129.89999999999998
62,4.561265456881324,79.0,94.95000000000005,81.0
63,4.221805736636245,84.0,106.0,111.0
64,8.559319764327798,136.29999999999995,59.299999999999955,47.0
65,7.908418533826408,82.0,,214.0
66,4.066043884423202,139.2,,131.75
67,7.926333776343269,82.25,,155.0
68,4.704474505723205,79.0,,136.0
69,4.001650618982119,51.0,,124.0
70,6.0480109739369,112.0,,165.0
71,3.7100539588151085,82.89999999999998,,136.10000000000002
72,7.719534459151072,116.0,,134.44999999999993
73,3.268358108863306,64.0,,195.0
74,4.959704381488651,44.0,,35.0
75,8.173553719008265,90.0,,144.0
76,8.129063561377972,57.0,,183.0
77,1.956656346749226,34.44999999999982,,152.0
78,2.4626818469323215,100.0,,151.0
79,4.794583883751652,37.0,,90.0
80,4.830248056275454,29.0,,121.25
81,4.731119544592031,66.0,,104.0
82,9.487128712871288,117.0,,246.0
83,2.9702251270878723,32.0,,180.79999999999995
84,2.8533680684778564,75.0,,32.0
85,5.990427759497457,60.0,,116.0
86,2.6899757477768795,52.0,,158.5
87,8.17133017649591,76.0,,91.29999999999995
88,9.191648956119515,84.39999999999986,,90.34999999999991
89,11.002621613748907,46.0,,116.0
90,5.119720449711334,50.0,,139.64999999999998
91,4.994446501295816,45.0,,158.0
92,11.694838056680162,71.0,,32.0
93,9.016519823788546,29.0,,49.0
94,13.542441663848495,89.0,,82.0
95,2.530112044817927,29.0,,98.0
96,9.936737914216037,46.0,,124.0
97,11.053707553707554,115.0,,36.0
98,13.943796835970025,60.90000000000009,,60.39999999999998
99,7.85587958607714,77.0,,76.0
100,3.084085678881218,37.0,,71.0
101,7.6177658142664875,176.0999999999999,,117.0
102,4.897954091816367,39.0,,74.0
103,2.357156691845826,53.34999999999991,,108.09999999999991
104,3.699560662385941,29.0,,34.0
105,9.730633437175493,51.0,,65.39999999999986
106,7.833333333333333,28.25,,104.29999999999973
107,2.2693935119887163,39.0,,37.0
108,7.041570751523358,118.0,,85.29999999999995
109,12.659335227974793,177.29999999999973,,80.0
110,7.746864686468647,85.0,,170.79999999999995
111,9.076318742985409,47.0,,108.59999999999991
112,6.657992565055762,61.0,,37.0
113,2.2038908539666497,42.0,,45.0
114,5.028195813873032,74.0,,113.0
115,8.367407666725013,83.0,,136.0
116,9.82778548312529,41.34999999999991,,205.0
117,2.067881835323696,31.94999999999999,,74.0
118,9.578637345376006,41.0,,92.0
119,7.205596107055961,78.20000000000005,,31.0
120,1.8551902475064648,106.0,,74.0
121,10.280369515011547,79.0,,90.39999999999986
122,12.487254408060453,95.0,,83.79999999999973
123,8.807791728212703,41.0,,87.0
124,7.241133241026733,144.19999999999982,,113.0
125,9.222285714285714,124.0,,144.0
126,6.994273716358084,59.69999999999993,,115.5
